읍면동코드,시도,객체시군구코드,시군구,읍면동명,중심점_longitude,중심점_latitude,순위,시설명,시설_시도,시설_시군구,시설_longitude,시설_latitude,직선거리_km
11110176,서울특별시,11110,종로구,교남동,126.96444885,37.56854491,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.96
11110176,서울특별시,11110,종로구,교남동,126.96444885,37.56854491,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,23.02
11110186,서울특별시,11110,종로구,신영동,126.96184112,37.60252111,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,12.54
11110186,서울특별시,11110,종로구,신영동,126.96184112,37.60252111,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,19.29
11110186,서울특별시,11110,종로구,신영동,126.96184112,37.60252111,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,24.51
11110114,서울특별시,11110,종로구,내자동,126.97173692,37.57531217,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.59
11110114,서울특별시,11110,종로구,내자동,126.97173692,37.57531217,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,16.17
11110114,서울특별시,11110,종로구,내자동,126.97173692,37.57531217,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,23.90
48129130,경상남도,48120,창원시,송죽동,128.65678735,35.14798598,1,창원시립상복공원,경상남도,창원시,128.63623797,35.18624320,4.65
48129130,경상남도,48120,창원시,송죽동,128.65678735,35.14798598,2,창원시립마산화장장,경상남도,창원시,128.50859539,35.13408177,13.56
48129130,경상남도,48120,창원시,송죽동,128.65678735,35.14798598,3,김해추모의공원,경상남도,김해시,128.82211902,35.24307806,18.37
11110169,서울특별시,11110,종로구,혜화동,127.00178999,37.58780193,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.94
11110169,서울특별시,11110,종로구,혜화동,127.00178999,37.58780193,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,16.59
11110169,서울특별시,11110,종로구,혜화동,127.00178999,37.58780193,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,23.92
